CNTRYID,AGEG10LFS,Percentage,Mean,s.e.±ê×¼Îó²î,ty
Austria,24 or less,898,279.27,1.63,a
Austria,25-34,958,282.06,1.73,a
Austria,35-44,558.5,281.35,2.01,a
Austria,35-44,558.5,281.35,2.01,b
Austria,45-54,1188,274.48,1.67,b
Austria,55 plus,969,257.48,1.74,b
Belgium,24 or less,994,282.82,1.74,a
Belgium,25-34,895,293.86,1.71,a
Belgium,35-44,466,289.92,1.68,a
Belgium,35-44,466,289.92,1.68,b
Belgium,45-54,1082,280.03,1.72,b
Belgium,55 plus,956,260.04,1.64,b
Canada,24 or less,931,268.77,1.46,a
Canada,25-34,963,277.43,1.53,a
Canada,35-44,501,272.28,1.52,a
Canada,35-44,501,272.28,1.52,b
Canada,45-54,1154,261.32,1.49,b
Canada,55 plus,889,252.75,1.44,b
Denmark,24 or less,935,273.53,1.52,a
Denmark,25-34,916,287.21,1.56,a
Denmark,35-44,551.5,290.04,1.49,a
Denmark,35-44,551.5,290.04,1.49,b
Denmark,45-54,1088,277.85,1.46,b
Denmark,55 plus,1032,265.93,1.44,b
Finland,24 or less,913,283.56,1.65,a
Finland,25-34,937,304.22,1.77,a
Finland,35-44,490.5,293.08,1.75,a
Finland,35-44,490.5,293.08,1.75,b
Finland,45-54,1009,278.63,1.82,b
Finland,55 plus,1282,260.02,1.46,b
France,24 or less,885,263.32,1.59,a
France,25-34,943,269.01,1.49,a
France,35-44,553,262.94,1.53,a
France,35-44,553,262.94,1.53,b
France,45-54,1043,246.77,1.48,b
France,55 plus,992,234.47,1.52,b
Germany,24 or less,857,274.52,1.56,a
Germany,25-34,946,283.36,1.55,a
Germany,35-44,559,288.73,1.53,a
Germany,35-44,559,288.73,1.53,b
Germany,45-54,1233,268.85,1.62,b
Germany,55 plus,972,256.64,1.64,b
Spain,24 or less,849,256.88,1.61,a
Spain,25-34,955,257.45,1.56,a
Spain,35-44,642,254.83,1.58,a
Spain,35-44,642,254.83,1.58,b
Spain,45-54,1163,244.39,1.62,b
Spain,55 plus,1002,221.26,1.63,b
