teacher,discipline,behavior,time.min
A1,人文,引导与深化,13.6
A2,人文,引导与深化,3.5
A3,人文,引导与深化,10
A4,人文,引导与深化,6.8
A5,人文,引导与深化,16.9
A6,人文,引导与深化,7
B1,社科,引导与深化,4.1
B2,社科,引导与深化,10.3
B3,社科,引导与深化,5.4
B4,社科,引导与深化,17.1
B5,社科,引导与深化,14
B6,社科,引导与深化,13.6
C1,理科,引导与深化,2
C2,理科,引导与深化,8.5
C3,理科,引导与深化,4.4
C4,理科,引导与深化,3.5
C5,理科,引导与深化,7.4
C6,理科,引导与深化,4.9
D1,工科,引导与深化,6.3
D2,工科,引导与深化,7.6
D3,工科,引导与深化,6
D4,工科,引导与深化,4
D5,工科,引导与深化,3
D6,工科,引导与深化,2.8
E1,医学,引导与深化,1
E2,医学,引导与深化,18
E3,医学,引导与深化,3
E4,医学,引导与深化,17.6
E5,医学,引导与深化,2.9
E6,医学,引导与深化,17.8
